Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,3.142,2.857,0.284,2.713,2.719,1.461,0.861
PRECT global GPCP_v2.3,mm/day,3.142,2.714,0.428,2.654,2.52,1.38,0.873
TREFHT land_60S90N CRU,DegC,20.77,999.999,999.999,8.097,999.999,999.999,999.999
SST global HadISST,degC,20.322,999.999,999.999,8.481,999.999,999.999,999.999
SST global HadISST_CL,degC,20.322,19.403,0.919,8.481,9.073,1.297,0.991
SST global HadISST_PI,degC,20.322,999.999,999.999,8.481,999.999,999.999,999.999
SST global HadISST_PD,degC,20.322,999.999,999.999,8.481,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,330.401,330.398,0.003,139.608,139.062,0.989,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.319,0.313,0.006,0.116,0.13,0.047,0.933
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.171,0.208,-0.037,0.121,0.34,0.277,0.667
RESTOM global ceres_ebaf_toa_v4.1,W/m2,-7.457,-7.655,0.198,88.269,86.704,12.751,0.99
FLUT global ceres_ebaf_toa_v4.1,W/m2,241.927,243.911,-1.984,34.349,35.445,8.794,0.97
FLUTC global ceres_ebaf_toa_v4.1,W/m2,267.707,269.619,-1.913,30.951,31.841,4.464,0.992
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,234.37,236.256,-1.886,108.38,107.8,15.11,0.99
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,283.722,279.541,4.18,124.067,122.036,9.821,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-49.352,-43.285,-6.067,29.956,29.996,16.666,0.866
LWCF global ceres_ebaf_toa_v4.1,W/m2,25.78,25.708,0.072,14.841,14.425,6.626,0.898
NETCF global ceres_ebaf_toa_v4.1,W/m2,-23.572,-17.577,-5.995,25.926,26.927,14.898,0.868
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.138,999.999,999.999,0.171,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-52.498,999.999,999.999,32.457,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,26.729,999.999,999.999,18.402,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-25.769,999.999,999.999,35.584,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,359.478,999.999,999.999,64.034,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,332.206,999.999,999.999,74.153,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,52.118,999.999,999.999,22.794,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,78.847,999.999,999.999,19.715,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,176.798,999.999,999.999,87.191,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,235.14,999.999,999.999,101.808,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,157.268,999.999,999.999,77.557,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,209.766,999.999,999.999,93.623,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,91.109,999.999,999.999,56.805,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,21.764,999.999,999.999,20.991,999.999,999.999,999.999
LHFLX global ERA5,W/m2,91.109,86.268,4.841,56.805,53.281,19.51,0.943
SHFLX global ERA5,W/m2,21.764,17.651,4.113,20.991,20.075,10.285,0.896
PSL global ERA5,mbar,1011.49,1011.258,0.232,9.69,8.404,2.631,0.968
FSNS global ERA5,W/m2,157.268,156.987,0.282,77.557,76.438,15.076,0.981
FLNS global ERA5,W/m2,52.118,57.534,-5.416,22.794,22.04,10.517,0.92
NET_FLUX_SRF global ERA5,W/m2,-8.333,-4.466,-3.867,81.966,74.206,29.108,0.937
PRECT global ERA5,mm/day,3.142,2.985,0.157,2.713,2.804,1.381,0.877
TMQ global ERA5,kg/m2,28.854,25.67,3.184,16.158,14.983,4.5,0.982
QREFHT global ERA5_ext,g/kg,11.101,999.999,999.999,5.665,999.999,999.999,999.999
U10 global ERA5_ext,m/s,6.375,999.999,999.999,2.684,999.999,999.999,999.999
