Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.921,2.811,0.11,2.12,2.066,1.065,0.872
PRECT global GPCP_v2.3,mm/day,2.921,2.689,0.232,2.076,1.938,0.996,0.886
TREFHT land_60S90N CRU,DegC,12.964,999.999,999.999,12.339,999.999,999.999,999.999
SST global HadISST,degC,20.189,999.999,999.999,8.093,999.999,999.999,999.999
SST global HadISST_CL,degC,20.189,18.783,1.405,8.093,9.477,1.015,0.993
SST global HadISST_PI,degC,20.189,999.999,999.999,8.093,999.999,999.999,999.999
SST global HadISST_PD,degC,20.189,999.999,999.999,8.093,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,340.292,340.272,0.02,72.714,72.726,0.446,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.311,0.303,0.008,0.096,0.106,0.037,0.942
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.171,0.176,-0.005,0.115,0.122,0.024,0.982
RESTOM global ceres_ebaf_toa_v4.1,W/m2,0.258,0.83,-0.571,53.624,56.055,9.875,0.985
FLUT global ceres_ebaf_toa_v4.1,W/m2,237.539,240.236,-2.697,28.622,29.771,7.34,0.973
FLUTC global ceres_ebaf_toa_v4.1,W/m2,262.673,266.106,-3.433,29.033,29.815,4.786,0.994
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,237.686,241.066,-3.38,76.223,80.143,13.008,0.988
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,287.95,286.441,1.509,81.988,82.771,6.329,0.997
SWCF global ceres_ebaf_toa_v4.1,W/m2,-50.264,-45.375,-4.889,22.584,20.353,13.851,0.823
LWCF global ceres_ebaf_toa_v4.1,W/m2,25.134,25.87,-0.736,13.373,11.116,5.698,0.91
NETCF global ceres_ebaf_toa_v4.1,W/m2,-25.13,-19.505,-5.625,14.985,15.158,12.144,0.745
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.142,999.999,999.999,0.164,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-54.115,999.999,999.999,23.964,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,23.57,999.999,999.999,16.375,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-30.545,999.999,999.999,23.548,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,343.448,999.999,999.999,64.19,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,318.513,999.999,999.999,75.246,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,55.601,999.999,999.999,18.095,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,79.17,999.999,999.999,14.835,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,182.689,999.999,999.999,55.45,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,242.698,999.999,999.999,50.461,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,159.67,999.999,999.999,59.88,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,213.785,999.999,999.999,64.282,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,84.514,999.999,999.999,51.588,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,18.538,999.999,999.999,16.406,999.999,999.999,999.999
LHFLX global ERA5,W/m2,84.514,83.333,1.181,51.588,49.998,14.391,0.961
SHFLX global ERA5,W/m2,18.538,16.662,1.877,16.406,16.912,7.983,0.892
PSL global ERA5,mbar,1011.582,1011.396,0.186,9.801,8.027,2.637,0.976
FSNS global ERA5,W/m2,159.67,163.692,-4.022,59.88,60.052,13.914,0.975
FLNS global ERA5,W/m2,55.601,57.794,-2.193,18.095,17.913,8.097,0.906
NET_FLUX_SRF global ERA5,W/m2,0.25,5.903,-5.653,30.324,29.867,22.153,0.747
PRECT global ERA5,mm/day,2.921,2.909,0.012,2.12,2.185,1.012,0.89
TMQ global ERA5,kg/m2,26.278,24.145,2.132,14.588,14.343,2.987,0.99
QREFHT global ERA5_ext,g/kg,10.294,999.999,999.999,5.482,999.999,999.999,999.999
U10 global ERA5_ext,m/s,6.251,999.999,999.999,2.399,999.999,999.999,999.999
U-850mb global ERA5,m/s,1.246,1.058,0.189,6.001,5.434,1.258,0.98
U-200mb global ERA5,m/s,16.592,15.606,0.986,11.466,12.264,3.043,0.973
Z3-500mb global ERA5,hectometer,56.619,56.602,0.017,2.64,2.562,0.189,0.998
OMEGA-200mb global ERA5,mbar/day,0.189,999.999,999.999,11.438,999.999,999.999,999.999
OMEGA-500mb global ERA5,mbar/day,0.026,999.999,999.999,18.952,999.999,999.999,999.999
OMEGA-850mb global ERA5,mbar/day,-0.5,999.999,999.999,26.234,999.999,999.999,999.999
T-850mb global ERA5,K,280.998,281.121,-0.123,9.544,11.047,1.267,0.996
T-200mb global ERA5,K,219.241,218.511,0.731,2.543,2.024,1.959,0.705
TAUXY ocean ERA5,N/m^2,0.068,0.067,0.001,0.05,0.05,0.021,0.909
LHFLX global MERRA2,W/m2,84.514,999.999,999.999,51.588,999.999,999.999,999.999
SHFLX global MERRA2,W/m2,18.538,999.999,999.999,16.406,999.999,999.999,999.999
PSL global MERRA2,mbar,1011.582,999.999,999.999,9.801,999.999,999.999,999.999
FSNS global MERRA2,W/m2,159.67,999.999,999.999,59.88,999.999,999.999,999.999
FLNS global MERRA2,W/m2,55.601,999.999,999.999,18.095,999.999,999.999,999.999
NET_FLUX_SRF global MERRA2,W/m2,0.25,999.999,999.999,30.324,999.999,999.999,999.999
PRECT global MERRA2,mm/day,2.921,999.999,999.999,2.12,999.999,999.999,999.999
TMQ global MERRA2,kg/m2,26.278,999.999,999.999,14.588,999.999,999.999,999.999
U-850mb global MERRA2,m/s,1.246,999.999,999.999,6.001,999.999,999.999,999.999
U-200mb global MERRA2,m/s,16.592,999.999,999.999,11.466,999.999,999.999,999.999
Z3-500mb global MERRA2,hectometer,56.619,999.999,999.999,2.64,999.999,999.999,999.999
OMEGA-200mb global MERRA2,mbar/day,0.189,999.999,999.999,11.438,999.999,999.999,999.999
