Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.887,2.794,0.094,2.692,2.543,1.456,0.847
PRECT global GPCP_v2.3,mm/day,2.887,2.698,0.189,2.646,2.38,1.381,0.857
TREFHT land_60S90N CRU,DegC,4.743,999.999,999.999,19.522,999.999,999.999,999.999
SST global HadISST,degC,20.075,999.999,999.999,8.223,999.999,999.999,999.999
SST global HadISST_CL,degC,20.075,19.11,0.965,8.223,9.243,1.116,0.992
SST global HadISST_PI,degC,20.075,999.999,999.999,8.223,999.999,999.999,999.999
SST global HadISST_PD,degC,20.075,999.999,999.999,8.223,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,350.529,350.509,0.02,147.307,146.718,1.049,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.326,0.325,0.001,0.119,0.134,0.046,0.94
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.192,0.213,-0.021,0.144,0.279,0.212,0.674
RESTOM global ceres_ebaf_toa_v4.1,W/m2,8.003,7.892,0.112,95.74,95.884,12.124,0.992
FLUT global ceres_ebaf_toa_v4.1,W/m2,235.856,237.351,-1.495,32.611,32.852,10.021,0.954
FLUTC global ceres_ebaf_toa_v4.1,W/m2,259.712,263.239,-3.526,32.504,32.781,5.766,0.99
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,243.751,245.243,-1.492,115.746,117.226,16.748,0.99
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,296.343,294.544,1.799,139.353,138.189,9.578,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-52.592,-49.301,-3.291,39.389,37.074,16.756,0.909
LWCF global ceres_ebaf_toa_v4.1,W/m2,23.856,25.888,-2.032,17.939,14.481,8.266,0.899
NETCF global ceres_ebaf_toa_v4.1,W/m2,-28.736,-23.413,-5.323,32.036,33.285,13.836,0.924
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.168,999.999,999.999,0.204,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-56.921,999.999,999.999,43.422,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,23.602,999.999,999.999,17.377,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-33.319,999.999,999.999,40.133,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,334.488,999.999,999.999,74.651,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,310.319,999.999,999.999,83.116,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,55.38,999.999,999.999,19.796,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,78.981,999.999,999.999,16.794,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,190.175,999.999,999.999,90.54,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,252.77,999.999,999.999,111.206,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,164.876,999.999,999.999,85.68,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,221.797,999.999,999.999,110.342,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,83.769,999.999,999.999,61.91,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,17.488,999.999,999.999,22.869,999.999,999.999,999.999
LHFLX global ERA5,W/m2,83.769,82.179,1.59,61.91,58.752,17.162,0.961
SHFLX global ERA5,W/m2,17.488,15.39,2.099,22.869,22.856,10.863,0.891
PSL global ERA5,mbar,1011.738,1011.548,0.191,10.3,8.614,2.669,0.976
FSNS global ERA5,W/m2,164.876,168.873,-3.997,85.68,85.462,18.72,0.977
FLNS global ERA5,W/m2,55.38,57.089,-1.71,19.796,18.481,9.622,0.88
NET_FLUX_SRF global ERA5,W/m2,7.372,14.215,-6.843,93.561,89.403,29.025,0.953
PRECT global ERA5,mm/day,2.887,2.886,0.002,2.692,2.655,1.381,0.867
TMQ global ERA5,kg/m2,24.868,23.034,1.834,15.68,15.481,3.167,0.986
QREFHT global ERA5_ext,g/kg,9.798,999.999,999.999,5.983,999.999,999.999,999.999
U10 global ERA5_ext,m/s,6.183,999.999,999.999,2.471,999.999,999.999,999.999
U-850mb global ERA5,m/s,1.067,1.017,0.05,6.465,5.874,1.566,0.972
U-200mb global ERA5,m/s,17.012,16.923,0.089,14.489,14.718,3.861,0.965
Z3-500mb global ERA5,hectometer,56.359,56.38,-0.021,2.673,2.69,0.209,0.997
OMEGA-200mb global ERA5,mbar/day,0.183,999.999,999.999,16.277,999.999,999.999,999.999
OMEGA-500mb global ERA5,mbar/day,0.029,999.999,999.999,26.079,999.999,999.999,999.999
OMEGA-850mb global ERA5,mbar/day,-0.378,999.999,999.999,30.184,999.999,999.999,999.999
T-850mb global ERA5,K,279.471,279.805,-0.334,11.224,12.105,1.565,0.995
T-200mb global ERA5,K,219.805,218.965,0.84,3.193,2.972,3.045,0.551
TAUXY ocean ERA5,N/m^2,0.07,0.072,-0.002,0.048,0.049,0.026,0.863
LHFLX global MERRA2,W/m2,83.769,999.999,999.999,61.91,999.999,999.999,999.999
SHFLX global MERRA2,W/m2,17.488,999.999,999.999,22.869,999.999,999.999,999.999
PSL global MERRA2,mbar,1011.738,999.999,999.999,10.3,999.999,999.999,999.999
FSNS global MERRA2,W/m2,164.876,999.999,999.999,85.68,999.999,999.999,999.999
FLNS global MERRA2,W/m2,55.38,999.999,999.999,19.796,999.999,999.999,999.999
NET_FLUX_SRF global MERRA2,W/m2,7.372,999.999,999.999,93.561,999.999,999.999,999.999
PRECT global MERRA2,mm/day,2.887,999.999,999.999,2.692,999.999,999.999,999.999
TMQ global MERRA2,kg/m2,24.868,999.999,999.999,15.68,999.999,999.999,999.999
U-850mb global MERRA2,m/s,1.067,999.999,999.999,6.465,999.999,999.999,999.999
U-200mb global MERRA2,m/s,17.012,999.999,999.999,14.489,999.999,999.999,999.999
Z3-500mb global MERRA2,hectometer,56.359,999.999,999.999,2.673,999.999,999.999,999.999
OMEGA-200mb global MERRA2,mbar/day,0.183,999.999,999.999,16.277,999.999,999.999,999.999
OMEGA-500mb global MERRA2,mbar/day,0.029,999.999,999.999,26.079,999.999,999.999,999.999
OMEGA-850mb global MERRA2,mbar/day,-0.378,999.999,999.999,30.184,999.999,999.999,999.999
T-850mb global MERRA2,K,279.471,999.999,999.999,11.224,999.999,999.999,999.999
T-200mb global MERRA2,K,219.805,999.999,999.999,3.193,999.999,999.999,999.999
TAUXY ocean MERRA2,N/m^2,0.07,999.999,999.999,0.048,999.999,999.999,999.999
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,41.857,999.999,999.999,22.259,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,17.397,999.999,999.999,10.148,999.999,999.999,999.999
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,24.46,999.999,999.999,15.423,999.999,999.999,999.999
CLDTOT_TAU1.3_MISR global MISRCOSP,%,41.857,999.999,999.999,22.26,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,17.397,999.999,999.999,10.148,999.999,999.999,999.999
CLDTOT_TAU9.4_MISR global MISRCOSP,%,24.46,999.999,999.999,15.423,999.999,999.999,999.999
CLDLOW_TAU1.3_MISR global MISRCOSP,%,22.253,999.999,999.999,18.942,999.999,999.999,999.999
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,10.572,999.999,999.999,10.386,999.999,999.999,999.999
CLDLOW_TAU9.4_MISR global MISRCOSP,%,11.681,999.999,999.999,10.223,999.999,999.999,999.999
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,39.185,999.999,999.999,22.183,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,16.561,999.999,999.999,9.805,999.999,999.999,999.999
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,22.624,999.999,999.999,15.352,999.999,999.999,999.999
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,13.352,999.999,999.999,12.48,999.999,999.999,999.999
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,5.204,999.999,999.999,4.539,999.999,999.999,999.999
CLDHGH_TAU9.4_MODIS global MODISCOSP,%,8.147,999.999,999.999,8.38,999.999,999.999,999.999
CLDTOT_CAL global CALIPSOCOSP,%,60.118,999.999,999.999,20.743,999.999,999.999,999.999
CLDLOW_CAL global CALIPSOCOSP,%,26.102,999.999,999.999,21.155,999.999,999.999,999.999
CLDMED_CAL global CALIPSOCOSP,%,14.673,999.999,999.999,10.733,999.999,999.999,999.999
CLDHGH_CAL global CALIPSOCOSP,%,36.581,999.999,999.999,19.538,999.999,999.999,999.999
TGCLDLWP_OCN global SSMI,g/m^2,155.569,999.999,999.999,83.388,999.999,999.999,999.999
AODVIS global MACv2,dimensionless,0.148,999.999,999.999,0.107,999.999,999.999,999.999
AODVIS global MERRA2_Aerosols,dimensionless,0.148,999.999,999.999,0.107,999.999,999.999,999.999
AODDUST global MACv2,dimensionless,0.017,999.999,999.999,0.039,999.999,999.999,999.999
TREFHT global ERA5,DegC,12.548,12.458,0.09,15.903,15.949,1.841,0.993
TREFHT land ERA5,DegC,2.653,3.199,-0.546,19.891,20.476,2.923,0.99
TREFHT global MERRA2,DegC,12.548,999.999,999.999,15.903,999.999,999.999,999.999
TREFHT land MERRA2,DegC,2.653,999.999,999.999,19.891,999.999,999.999,999.999
TREFMNAV global MERRA2,DegC,10.871,999.999,999.999,16.728,999.999,999.999,999.999
TREFMXAV global MERRA2,DegC,14.365,999.999,999.999,15.315,999.999,999.999,999.999
TREF_range global MERRA2,K,3.493,999.999,999.999,3.879,999.999,999.999,999.999
PminusE global GPCP_OAFLux,mm/day,-0.008,999.999,999.999,2.834,999.999,999.999,999.999
PminusE global COREv2_Flux,mm/day,-0.008,999.999,999.999,2.834,999.999,999.999,999.999
TCO global OMI-MLS,DU,27.891,999.999,999.999,6.617,999.999,999.999,999.999
TCO 60S60N OMI-MLS,DU,29.242,999.999,999.999,5.866,999.999,999.999,999.999
_ABURDENDUST global ,1e-6 kg/m2,33.645,999.999,999.999,87.563,999.999,999.999,999.999
