Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,3.032,2.857,0.174,3.015,2.719,1.521,0.866
PRECT global GPCP_v2.3,mm/day,3.031,2.714,0.317,2.932,2.52,1.414,0.883
TREFHT land_60S90N CRU,DegC,20.012,999.999,999.999,8.065,999.999,999.999,999.999
SST global HadISST,degC,19.981,999.999,999.999,8.408,999.999,999.999,999.999
SST global HadISST_CL,degC,19.981,19.403,0.578,8.408,9.073,1.126,0.991
SST global HadISST_PI,degC,19.981,999.999,999.999,8.408,999.999,999.999,999.999
SST global HadISST_PD,degC,19.981,999.999,999.999,8.408,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,330.401,330.398,0.003,139.608,139.062,0.989,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.326,0.313,0.014,0.118,0.13,0.051,0.925
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.18,0.208,-0.029,0.124,0.34,0.276,0.658
RESTOM global ceres_ebaf_toa_v4.1,W/m2,-9.871,-7.655,-2.216,86.537,86.704,13.623,0.988
FLUT global ceres_ebaf_toa_v4.1,W/m2,240.578,243.911,-3.333,35.59,35.445,10.043,0.964
FLUTC global ceres_ebaf_toa_v4.1,W/m2,266.006,269.619,-3.613,31.41,31.841,5.334,0.992
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,230.608,236.256,-5.648,105.948,107.8,17.032,0.989
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,281.235,279.541,1.694,123.441,122.036,8.219,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-50.627,-43.285,-7.342,35.09,29.996,18.654,0.873
LWCF global ceres_ebaf_toa_v4.1,W/m2,25.428,25.708,-0.28,17.247,14.425,7.854,0.892
NETCF global ceres_ebaf_toa_v4.1,W/m2,-25.199,-17.577,-7.622,28.962,26.927,16.416,0.867
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.142,999.999,999.999,0.177,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-54.236,999.999,999.999,38.288,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,23.485,999.999,999.999,17.557,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-30.752,999.999,999.999,39.256,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,353.211,999.999,999.999,64.515,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,329.186,999.999,999.999,74.269,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,54.582,999.999,999.999,23.073,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,78.066,999.999,999.999,19.679,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,171.623,999.999,999.999,85.143,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,231.933,999.999,999.999,100.825,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,152.396,999.999,999.999,75.843,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,206.633,999.999,999.999,92.67,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,87.798,999.999,999.999,57.139,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,19.812,999.999,999.999,20.504,999.999,999.999,999.999
LHFLX global ERA5,W/m2,87.798,86.268,1.53,57.139,53.281,19.179,0.942
SHFLX global ERA5,W/m2,19.812,17.651,2.161,20.504,20.075,10.131,0.881
PSL global ERA5,mbar,1011.466,1011.258,0.208,9.903,8.404,2.855,0.965
FSNS global ERA5,W/m2,152.396,156.987,-4.59,75.843,76.438,17.993,0.974
FLNS global ERA5,W/m2,54.582,57.534,-2.953,23.073,22.04,10.044,0.91
NET_FLUX_SRF global ERA5,W/m2,-10.421,-4.466,-5.955,79.476,74.206,28.807,0.935
PRECT global ERA5,mm/day,3.032,2.985,0.046,3.015,2.804,1.474,0.874
TMQ global ERA5,kg/m2,28.131,25.67,2.461,15.82,14.983,3.713,0.985
QREFHT global ERA5_ext,g/kg,10.885,999.999,999.999,5.598,999.999,999.999,999.999
U10 global ERA5_ext,m/s,6.344,999.999,999.999,2.714,999.999,999.999,999.999
U-850mb global ERA5,m/s,1.439,1.12,0.319,6.408,5.855,1.577,0.971
U-200mb global ERA5,m/s,14.799,12.842,1.958,15.6,15.995,3.897,0.978
Z3-500mb global ERA5,hectometer,56.927,56.88,0.047,2.746,2.593,0.267,0.997
OMEGA-200mb global ERA5,mbar/day,0.191,999.999,999.999,16.082,999.999,999.999,999.999
OMEGA-500mb global ERA5,mbar/day,0.043,999.999,999.999,26.578,999.999,999.999,999.999
OMEGA-850mb global ERA5,mbar/day,-0.521,999.999,999.999,34.807,999.999,999.999,999.999
T-850mb global ERA5,K,282.643,282.64,0.003,9.752,11.393,1.299,0.993
T-200mb global ERA5,K,219.109,218.433,0.676,4.238,4.985,1.771,0.95
TAUXY ocean ERA5,N/m^2,0.079,0.076,0.003,0.058,0.058,0.03,0.871
LHFLX global MERRA2,W/m2,87.798,999.999,999.999,57.139,999.999,999.999,999.999
SHFLX global MERRA2,W/m2,19.812,999.999,999.999,20.504,999.999,999.999,999.999
PSL global MERRA2,mbar,1011.466,999.999,999.999,9.903,999.999,999.999,999.999
FSNS global MERRA2,W/m2,152.396,999.999,999.999,75.843,999.999,999.999,999.999
FLNS global MERRA2,W/m2,54.582,999.999,999.999,23.073,999.999,999.999,999.999
NET_FLUX_SRF global MERRA2,W/m2,-10.421,999.999,999.999,79.476,999.999,999.999,999.999
PRECT global MERRA2,mm/day,3.032,999.999,999.999,3.015,999.999,999.999,999.999
TMQ global MERRA2,kg/m2,28.131,999.999,999.999,15.82,999.999,999.999,999.999
U-850mb global MERRA2,m/s,1.439,999.999,999.999,6.408,999.999,999.999,999.999
U-200mb global MERRA2,m/s,14.799,999.999,999.999,15.6,999.999,999.999,999.999
Z3-500mb global MERRA2,hectometer,56.927,999.999,999.999,2.746,999.999,999.999,999.999
OMEGA-200mb global MERRA2,mbar/day,0.191,999.999,999.999,16.082,999.999,999.999,999.999
OMEGA-500mb global MERRA2,mbar/day,0.043,999.999,999.999,26.578,999.999,999.999,999.999
OMEGA-850mb global MERRA2,mbar/day,-0.521,999.999,999.999,34.807,999.999,999.999,999.999
T-850mb global MERRA2,K,282.643,999.999,999.999,9.752,999.999,999.999,999.999
T-200mb global MERRA2,K,219.109,999.999,999.999,4.238,999.999,999.999,999.999
TAUXY ocean MERRA2,N/m^2,0.079,999.999,999.999,0.058,999.999,999.999,999.999
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,44.555,999.999,999.999,22.843,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,16.924,999.999,999.999,9.414,999.999,999.999,999.999
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,27.631,999.999,999.999,16.155,999.999,999.999,999.999
CLDTOT_TAU1.3_MISR global MISRCOSP,%,44.554,999.999,999.999,22.844,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,16.924,999.999,999.999,9.414,999.999,999.999,999.999
CLDTOT_TAU9.4_MISR global MISRCOSP,%,27.63,999.999,999.999,16.155,999.999,999.999,999.999
CLDLOW_TAU1.3_MISR global MISRCOSP,%,22.698,999.999,999.999,19.829,999.999,999.999,999.999
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,9.939,999.999,999.999,9.669,999.999,999.999,999.999
CLDLOW_TAU9.4_MISR global MISRCOSP,%,12.759,999.999,999.999,11.6,999.999,999.999,999.999
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,41.797,999.999,999.999,22.746,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,16.049,999.999,999.999,9.132,999.999,999.999,999.999
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,25.747,999.999,999.999,16.143,999.999,999.999,999.999
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,15.297,999.999,999.999,12.795,999.999,999.999,999.999
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,5.681,999.999,999.999,4.769,999.999,999.999,999.999
CLDHGH_TAU9.4_MODIS global MODISCOSP,%,9.616,999.999,999.999,8.807,999.999,999.999,999.999
CLDTOT_CAL global CALIPSOCOSP,%,60.994,999.999,999.999,21.816,999.999,999.999,999.999
CLDLOW_CAL global CALIPSOCOSP,%,26.927,999.999,999.999,21.983,999.999,999.999,999.999
CLDMED_CAL global CALIPSOCOSP,%,13.335,999.999,999.999,10.155,999.999,999.999,999.999
CLDHGH_CAL global CALIPSOCOSP,%,37.527,999.999,999.999,19.407,999.999,999.999,999.999
TGCLDLWP_OCN global SSMI,g/m^2,159.844,999.999,999.999,89.441,999.999,999.999,999.999
AODVIS global MACv2,dimensionless,0.19,999.999,999.999,0.128,999.999,999.999,999.999
AODVIS global MERRA2_Aerosols,dimensionless,0.19,999.999,999.999,0.128,999.999,999.999,999.999
AODDUST global MACv2,dimensionless,0.031,999.999,999.999,0.069,999.999,999.999,999.999
TREFHT global ERA5,DegC,16.095,15.994,0.101,14.736,14.153,1.678,0.994
TREFHT land ERA5,DegC,13.854,14.353,-0.498,20.96,20.023,2.514,0.994
TREFHT global MERRA2,DegC,16.095,999.999,999.999,14.736,999.999,999.999,999.999
TREFHT land MERRA2,DegC,13.854,999.999,999.999,20.96,999.999,999.999,999.999
TREFMNAV global MERRA2,DegC,14.286,999.999,999.999,14.914,999.999,999.999,999.999
TREFMXAV global MERRA2,DegC,17.983,999.999,999.999,14.868,999.999,999.999,999.999
TREF_range global MERRA2,K,3.697,999.999,999.999,4.182,999.999,999.999,999.999
PminusE global GPCP_OAFLux,mm/day,-0.003,999.999,999.999,3.284,999.999,999.999,999.999
PminusE global COREv2_Flux,mm/day,-0.003,999.999,999.999,3.284,999.999,999.999,999.999
TCO global OMI-MLS,DU,29.318,999.999,999.999,6.19,999.999,999.999,999.999
TCO 60S60N OMI-MLS,DU,29.827,999.999,999.999,5.841,999.999,999.999,999.999
_ABURDENDUST global ,1e-6 kg/m2,66.53,999.999,999.999,166.927,999.999,999.999,999.999
_ABURDENBC global ,1e-6 kg/m2,0.289,999.999,999.999,0.394,999.999,999.999,999.999
_ABURDENSOA global ,1e-6 kg/m2,6.364,999.999,999.999,10.607,999.999,999.999,999.999
_ABURDENPOM global ,1e-6 kg/m2,1.949,999.999,999.999,3.181,999.999,999.999,999.999
_ABURDENSEASALT global ,1e-6 kg/m2,16.77,999.999,999.999,13.514,999.999,999.999,999.999
_ABURDENSO4 global ,1e-6 kg/m2,8.561,999.999,999.999,5.524,999.999,999.999,999.999
_ABURDENSO4_STR global ,1e-6 kg/m2,2.294,999.999,999.999,0.952,999.999,999.999,999.999
_ABURDENSO4_TRO global ,1e-6 kg/m2,6.267,999.999,999.999,5.02,999.999,999.999,999.999
_Mass_bc_srf global ,1e-12 kg/kg,103.467,999.999,999.999,248.396,999.999,999.999,999.999
_Mass_ncl_srf global ,1e-12 kg/kg,9829.984,999.999,999.999,7809.483,999.999,999.999,999.999
_Mass_so4_srf global ,1e-12 kg/kg,1254.583,999.999,999.999,1303.955,999.999,999.999,999.999
_Mass_dst_srf global ,1e-12 kg/kg,22612.082,999.999,999.999,79508.202,999.999,999.999,999.999
_Mass_pom_srf global ,1e-12 kg/kg,611.561,999.999,999.999,1482.084,999.999,999.999,999.999
_Mass_soa_srf global ,1e-12 kg/kg,1122.744,999.999,999.999,3030.936,999.999,999.999,999.999
_Mass_mom_srf global ,1e-12 kg/kg,129.765,999.999,999.999,146.784,999.999,999.999,999.999
_Mass_bc_850 global ,1e-12 kg/kg,71.958,999.999,999.999,150.948,999.999,999.999,999.999
_Mass_ncl_850 global ,1e-12 kg/kg,4025.535,999.999,999.999,3435.708,999.999,999.999,999.999
_Mass_so4_850 global ,1e-12 kg/kg,1153.118,999.999,999.999,1189.962,999.999,999.999,999.999
_Mass_dst_850 global ,1e-12 kg/kg,17945.374,999.999,999.999,54390.338,999.999,999.999,999.999
_Mass_pom_850 global ,1e-12 kg/kg,521.133,999.999,999.999,1266.662,999.999,999.999,999.999
_Mass_soa_850 global ,1e-12 kg/kg,1254.5,999.999,999.999,3363.973,999.999,999.999,999.999
_Mass_mom_850 global ,1e-12 kg/kg,59.778,999.999,999.999,37.904,999.999,999.999,999.999
_Mass_bc_330 global ,1e-12 kg/kg,14.539,999.999,999.999,9.002,999.999,999.999,999.999
_Mass_ncl_330 global ,1e-12 kg/kg,224.938,999.999,999.999,273.618,999.999,999.999,999.999
_Mass_so4_330 global ,1e-12 kg/kg,510.74,999.999,999.999,354.128,999.999,999.999,999.999
_Mass_dst_330 global ,1e-12 kg/kg,2085.674,999.999,999.999,3049.718,999.999,999.999,999.999
_Mass_pom_330 global ,1e-12 kg/kg,79.616,999.999,999.999,45.211,999.999,999.999,999.999
_Mass_soa_330 global ,1e-12 kg/kg,533.861,999.999,999.999,342.703,999.999,999.999,999.999
_Mass_mom_330 global ,1e-12 kg/kg,7.117,999.999,999.999,4.819,999.999,999.999,999.999
