Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.886,2.786,0.101,2.305,2.199,1.348,0.823
PRECT global GPCP_v2.3,mm/day,2.886,2.664,0.222,2.255,2.08,1.265,0.838
TREFHT land_60S90N CRU,DegC,12.689,999.999,999.999,13.094,999.999,999.999,999.999
SST global HadISST,degC,19.988,999.999,999.999,8.827,999.999,999.999,999.999
SST global HadISST_CL,degC,19.988,19.313,0.675,8.827,9.48,1.137,0.992
SST global HadISST_PI,degC,19.988,999.999,999.999,8.827,999.999,999.999,999.999
SST global HadISST_PD,degC,19.988,999.999,999.999,8.827,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,338.283,338.181,0.101,100.528,101.354,1.989,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.315,0.307,0.007,0.109,0.119,0.045,0.929
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.178,0.186,-0.007,0.128,0.14,0.036,0.97
RESTOM global ceres_ebaf_toa_v4.1,W/m2,2.028,1.384,0.645,70.817,72.011,10.254,0.99
FLUT global ceres_ebaf_toa_v4.1,W/m2,235.479,239.187,-3.707,30.812,31.037,11.332,0.94
FLUTC global ceres_ebaf_toa_v4.1,W/m2,261.793,265.331,-3.538,30.824,31.447,5.89,0.989
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,237.388,240.57,-3.182,92.193,94.633,15.068,0.988
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,285.219,283.106,2.113,99.121,100.071,10.017,0.995
SWCF global ceres_ebaf_toa_v4.1,W/m2,-47.831,-42.536,-5.295,25.302,22.22,16.209,0.8
LWCF global ceres_ebaf_toa_v4.1,W/m2,26.314,26.144,0.17,14.953,11.818,8.239,0.836
NETCF global ceres_ebaf_toa_v4.1,W/m2,-21.516,-16.391,-5.125,16.949,16.967,12.293,0.783
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.148,999.999,999.999,0.182,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-51.399,999.999,999.999,27.03,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,23.271,999.999,999.999,17.067,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-28.129,999.999,999.999,27.802,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,342.797,999.999,999.999,68.318,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,318.76,999.999,999.999,79.004,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,55.899,999.999,999.999,19.345,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,79.17,999.999,999.999,16.956,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,183.728,999.999,999.999,72.5,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,241.335,999.999,999.999,73.258,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,159.95,999.999,999.999,71.203,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,211.349,999.999,999.999,77.252,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,84.123,999.999,999.999,52.332,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,18.968,999.999,999.999,18.463,999.999,999.999,999.999
LHFLX global ERA5,W/m2,84.123,82.625,1.497,52.332,50.558,16.048,0.952
SHFLX global ERA5,W/m2,18.968,17.632,1.336,18.463,19.185,9.655,0.872
PSL global ERA5,mbar,1011.643,1011.425,0.219,9.876,7.928,2.862,0.972
FSNS global ERA5,W/m2,159.95,163.425,-3.475,71.203,70.8,16.53,0.974
FLNS global ERA5,W/m2,55.899,58.715,-2.817,19.345,19.883,9.654,0.89
NET_FLUX_SRF global ERA5,W/m2,0.059,4.452,-4.393,46.129,45.403,23.722,0.87
PRECT global ERA5,mm/day,2.886,2.863,0.024,2.305,2.311,1.293,0.843
TMQ global ERA5,kg/m2,26.196,24.008,2.188,15.854,15.321,3.794,0.981
QREFHT global ERA5_ext,g/kg,10.294,999.999,999.999,5.917,999.999,999.999,999.999
U10 global ERA5_ext,m/s,6.206,999.999,999.999,2.531,999.999,999.999,999.999
U-850mb global ERA5,m/s,1.154,0.954,0.2,6.203,5.458,1.562,0.971
U-200mb global ERA5,m/s,18.349,17.015,1.334,11.944,11.975,4.802,0.926
