Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.876,2.806,0.07,2.606,2.374,1.441,0.837
PRECT global GPCP_v2.3,mm/day,2.876,2.682,0.195,2.549,2.213,1.354,0.851
TREFHT land_60S90N CRU,DegC,14.247,999.999,999.999,11.844,999.999,999.999,999.999
SST global HadISST,degC,19.849,999.999,999.999,8.348,999.999,999.999,999.999
SST global HadISST_CL,degC,19.849,19.31,0.539,8.348,9.145,1.136,0.991
SST global HadISST_PI,degC,19.849,999.999,999.999,8.348,999.999,999.999,999.999
SST global HadISST_PD,degC,19.849,999.999,999.999,8.348,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,342.197,342.243,-0.046,100.091,100.819,1.782,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.315,0.307,0.008,0.109,0.116,0.046,0.921
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.174,0.177,-0.003,0.129,0.13,0.03,0.974
RESTOM global ceres_ebaf_toa_v4.1,W/m2,1.05,1.863,-0.813,72.341,73.739,13.162,0.984
FLUT global ceres_ebaf_toa_v4.1,W/m2,238.213,240.435,-2.222,31.51,31.421,10.3,0.949
FLUTC global ceres_ebaf_toa_v4.1,W/m2,263.122,266.174,-3.052,29.462,30.133,5.199,0.99
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,239.142,242.298,-3.155,92.574,95.215,17.541,0.984
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,289.199,288.774,0.425,104.246,104.271,7.077,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-50.057,-46.476,-3.581,29.063,25.954,18.534,0.787
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.909,25.739,-0.83,16.16,12.355,8.393,0.862
NETCF global ceres_ebaf_toa_v4.1,W/m2,-25.147,-20.737,-4.41,21.346,21.698,15.125,0.774
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.139,999.999,999.999,0.174,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-53.962,999.999,999.999,31.35,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,23.926,999.999,999.999,17.03,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-30.036,999.999,999.999,31.074,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,343.1,999.999,999.999,65.268,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,318.437,999.999,999.999,75.86,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,56.548,999.999,999.999,19.791,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,80.474,999.999,999.999,16.437,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,185.421,999.999,999.999,69.3,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,244.997,999.999,999.999,73.837,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,161.59,999.999,999.999,71.674,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,215.552,999.999,999.999,83.103,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,82.327,999.999,999.999,52.67,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,17.855,999.999,999.999,19.261,999.999,999.999,999.999
LHFLX global ERA5,W/m2,82.327,82.224,0.103,52.67,51.112,16.875,0.948
SHFLX global ERA5,W/m2,17.855,15.939,1.915,19.261,18.869,8.509,0.906
PSL global ERA5,mbar,1011.48,1011.355,0.125,10.794,8.752,2.969,0.975
FSNS global ERA5,W/m2,161.59,165.616,-4.026,71.674,71.898,17.289,0.973
FLNS global ERA5,W/m2,56.548,57.822,-1.274,19.791,18.769,8.832,0.899
NET_FLUX_SRF global ERA5,W/m2,4.187,9.631,-5.444,48.403,48.333,25.783,0.864
PRECT global ERA5,mm/day,2.876,2.9,-0.023,2.606,2.503,1.336,0.864
TMQ global ERA5,kg/m2,25.88,23.841,2.039,15.413,14.923,3.321,0.986
QREFHT global ERA5_ext,g/kg,10.189,999.999,999.999,5.604,999.999,999.999,999.999
U10 global ERA5_ext,m/s,6.27,999.999,999.999,2.491,999.999,999.999,999.999
U-850mb global ERA5,m/s,1.349,1.141,0.208,6.303,5.603,1.491,0.975
U-200mb global ERA5,m/s,16.215,15.675,0.54,13.052,13.057,3.168,0.971
